"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2020/01/01","00:00","-0.49","-","0.023"
"2020/01/01","01:00","-0.453","-","0.047"
"2020/01/01","02:00","-0.354","-","0.147"
"2020/01/01","03:00","-0.219","-","0.247"
"2020/01/01","04:00","-0.082","-","0.377"
"2020/01/01","05:00","0.021","-","0.495"
"2020/01/01","06:00","0.059","-","0.519"
"2020/01/01","07:00","0.027","-","0.478"
"2020/01/01","08:00","-0.06","-","0.379"
"2020/01/01","09:00","-0.181","-","0.249"
"2020/01/01","10:00","-0.304","-","0.115"
"2020/01/01","11:00","-0.393","-","0.021"
"2020/01/01","12:00","-0.431","-","-0.016"
"2020/01/01","13:00","-0.409","-","0.02"
"2020/01/01","14:00","-0.328","-","0.099"
"2020/01/01","15:00","-0.205","-","0.201"
"2020/01/01","16:00","-0.07","-","0.331"
"2020/01/01","17:00","0.044","-","0.437"
"2020/01/01","18:00","0.1","-","0.489"
"2020/01/01","19:00","0.079","-","0.431"
"2020/01/01","20:00","-0.004","-","0.342"
"2020/01/01","21:00","-0.13","-","0.18"
"2020/01/01","22:00","-0.272","-","0.014"
"2020/01/01","23:00","-0.392","-","-0.112"
"2020/01/02","00:00","-0.463","-","-0.181"
"2020/01/02","01:00","-0.473","-","-0.192"
"2020/01/02","02:00","-0.418","-","-0.161"
"2020/01/02","03:00","-0.311","-","-0.068"
"2020/01/02","04:00","-0.179","-","0.056"
"2020/01/02","05:00","-0.052","-","0.182"
"2020/01/02","06:00","0.034","-","0.266"
"2020/01/02","07:00","0.052","-","0.274"
"2020/01/02","08:00","0.009","-","0.217"
"2020/01/02","09:00","-0.077","-","0.123"
"2020/01/02","10:00","-0.189","-","0.002"
"2020/01/02","11:00","-0.299","-","-0.134"
"2020/01/02","12:00","-0.379","-","-0.237"
"2020/01/02","13:00","-0.41","-","-0.287"
"2020/01/02","14:00","-0.383","-","-0.259"
"2020/01/02","15:00","-0.304","-","-0.189"
"2020/01/02","16:00","-0.19","-","-0.061"
"2020/01/02","17:00","-0.069","-","0.047"
"2020/01/02","18:00","0.027","-","0.136"
"2020/01/02","19:00","0.061","-","0.153"
"2020/01/02","20:00","0.026","-","0.103"
"2020/01/02","21:00","-0.06","-","0.019"
"2020/01/02","22:00","-0.178","-","-0.102"
"2020/01/02","23:00","-0.308","-","-0.209"
"2020/01/03","00:00","-0.413","-","-0.309"
"2020/01/03","01:00","-0.466","-","-0.396"
"2020/01/03","02:00","-0.457","-","-0.4"
"2020/01/03","03:00","-0.387","-","-0.378"
"2020/01/03","04:00","-0.273","-","-0.261"
"2020/01/03","05:00","-0.142","-","-0.14"
"2020/01/03","06:00","-0.023","-","0.011"
"2020/01/03","07:00","0.047","-","0.085"
"2020/01/03","08:00","0.051","-","0.116"
"2020/01/03","09:00","0.004","-","0.049"
"2020/01/03","10:00","-0.079","-","-0.024"
"2020/01/03","11:00","-0.188","-","-0.152"
"2020/01/03","12:00","-0.296","-","-0.248"
"2020/01/03","13:00","-0.372","-","-0.31"
"2020/01/03","14:00","-0.4","-","-0.32"
"2020/01/03","15:00","-0.373","-","-0.286"
"2020/01/03","16:00","-0.296","-","-0.186"
"2020/01/03","17:00","-0.188","-","-0.117"
"2020/01/03","18:00","-0.075","-","0.003"
